Complaint,DateOccur,Crime,crimeCat,Description,ILEADSAddress,ILEADSStreet,XCoord,YCoord,xyStatus
16-000276,01/02/2016 14:30,41013,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,3600,BATES ST,890485.1,995971.1,FALSE
16-000276,01/02/2016 14:30,41013,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,3600,BATES ST,890485.1,995971.1,FALSE
16-000276,01/02/2016 14:30,41013,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,3600,BATES ST,890485.1,995971.1,FALSE
16-000303,01/02/2016 15:00,32111,Robbery,ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL,2032,E OBEAR AVE,903064.6,1033299,FALSE
16-000284,01/02/2016 18:31,31422,Robbery,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/ATTEMPT,3226,S GRAND BLVD,893759.9,1006849,FALSE
16-000291,01/02/2016 19:00,31421,Robbery,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,3621,MERAMEC ST,893098.5,1000646,FALSE
16-000297,01/02/2016 19:48,36111,Robbery,ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS,311,DEBALIVIERE AVE,881463.4,1025335,FALSE
16-000313,01/02/2016 23:05,44015,Aggravated Assault,ASSLT-AGGRV-HND/FST/FT-2ND-ADUL-DOMESTIC,1421,HICKORY LN,904245.2,1013903,FALSE
16-000326,01/02/2016 23:15,44016,Aggravated Assault,ASSLT-AGGRV-HND/FST/FT-3RD-ADUL-DOMESTIC,4516,ADELAIDE,0,0,TRUE
16-000341,01/03/2016 02:00,42011,Aggravated Assault,AGG.ASSAULT-KNIFE/CITIZEN ADULT 1ST DEGREE,4300,S 38TH ST,892007.3,1000708,FALSE
16-000340,01/03/2016 04:00,43016,Aggravated Assault,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC,2910,CALIFORNIA AVE,897914,1007991,FALSE
16-000342,01/03/2016 04:10,42011,Aggravated Assault,AGG.ASSAULT-KNIFE/CITIZEN ADULT 1ST DEGREE,650,LUCAS AVE,908727.5,1018889,FALSE
16-000354,01/03/2016 06:26,31421,Robbery,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,707,N KINGSHIGHWAY BLVD,887661.3,1026321,FALSE
16-000517,01/03/2016 10:30,41011,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4006,PECK ST,901816.9,1030392,FALSE
16-000517,01/03/2016 10:30,41021,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,4006,PECK ST,901816.9,1030392,FALSE
16-000377,01/03/2016 11:10,23000,Forcible Rape,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,4600,EMERSON AVE,0,0,TRUE
16-000379,01/03/2016 11:30,43016,Aggravated Assault,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC,0,CLARENCE AVE / MARGARETTA AVE,896338.5,1033402,FALSE
16-000390,01/03/2016 11:55,36111,Robbery,ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS,6155,S GRAND BLVD,889468,994413.8,FALSE
16-000393,01/03/2016 12:20,43016,Aggravated Assault,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC,4247,NORFOLK AVE,890017.6,1016725,FALSE
16-000393,01/03/2016 12:20,43016,Aggravated Assault,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC,4247,NORFOLK AVE,890017.6,1016725,FALSE
18-021714,01/03/2016 12:30,44011,Aggravated Assault,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 1ST DEGRE",2319,ESTHER AVE,880315,1012848,FALSE
16-000421,01/03/2016 14:13,43015,Aggravated Assault,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC,4125,SAN FRANCISCO AVE,897721.9,1032376,FALSE
16-000401,01/03/2016 14:55,42011,Aggravated Assault,AGG.ASSAULT-KNIFE/CITIZEN ADULT 1ST DEGREE,3411,S JEFFERSON AVE,898532,1004867,FALSE
16-000432,01/03/2016 16:28,41011,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5842,W FLORISSANT AVE,891841.2,1045891,FALSE
16-000458,01/03/2016 18:00,21000,Forcible Rape,RAPE -- FORCIBLE,4100,N EUCLID AVE,0,0,TRUE
16-000446,01/03/2016 19:00,32421,Robbery,ROBBERY-RESIDENCE/STRNGARM/NO INJ/SUCCESS,3940,UTAH ST,891075.8,1006601,FALSE
